物件CD,賃料,管理費,敷金,礼金,保証金,敷引・償却
100337292519,60000.0,40000.0,,,,
100337302603,60000.0,40000.0,,,,
100337810274,60000.0,40000.0,,,,
100337402427,60000.0,40000.0,,,,
100338802161,50000.0,30000.0,,,,
100267668772,70000.0,50000.0,,70000.0,,
100288766287,70000.0,50000.0,,70000.0,,
100289008709,70000.0,50000.0,,70000.0,,
100345478098,70000.0,30000.0,,70000.0,,
100345476971,70000.0,30000.0,,70000.0,,
100020794857,70000.0,30000.0,,70000.0,,
100345478844,70000.0,30000.0,,70000.0,,
100345558285,60000.0,50000.0,,60000.0,,
100342787844,60000.0,50000.0,,60000.0,,
100343636014,70000.0,50000.0,,150000.0,,
100343488317,70000.0,50000.0,,150000.0,,
100346555289,70000.0,50000.0,,150000.0,,
100343478192,70000.0,50000.0,,150000.0,,
100343481328,70000.0,50000.0,,150000.0,,
100343477148,70000.0,50000.0,,150000.0,,
100346007974,70000.0,50000.0,,150000.0,,
100343775741,70000.0,50000.0,,150000.0,,
100343491103,70000.0,50000.0,,150000.0,,
100343441146,70000.0,50000.0,,150000.0,,
100343483005,70000.0,50000.0,,150000.0,,
100343480841,70000.0,50000.0,,150000.0,,
100343525251,70000.0,50000.0,,150000.0,,
100343478412,70000.0,50000.0,,150000.0,,
100337946245,70000.0,50000.0,,150000.0,,
100343469465,70000.0,50000.0,,150000.0,,
100343489649,70000.0,50000.0,,150000.0,,
100333498507,60000.0,30000.0,,,,
100338345849,70000.0,50000.0,,70000.0,,
100345558250,70000.0,50000.0,,70000.0,,
100338405421,70000.0,50000.0,,70000.0,,
100296334011,70000.0,50000.0,,70000.0,,
100335757991,70000.0,50000.0,,,,
100335757721,70000.0,50000.0,,,,
100345557523,70000.0,50000.0,,,,
100329322323,70000.0,50000.0,,70000.0,,
100346428911,70000.0,50000.0,,70000.0,,
100329366274,70000.0,50000.0,,70000.0,,
100343758834,70000.0,50000.0,,150000.0,,
100343517210,70000.0,50000.0,,150000.0,,
100343469475,70000.0,50000.0,,150000.0,,
100343469277,70000.0,50000.0,,150000.0,,
100337946181,70000.0,50000.0,,150000.0,,
100343564266,70000.0,50000.0,,150000.0,,
100338905950,70000.0,50000.0,,70000.0,,
100211060051,70000.0,50000.0,,70000.0,,
100338869836,70000.0,50000.0,,70000.0,,
100344613986,70000.0,30000.0,,70000.0,,
100344426908,70000.0,30000.0,,70000.0,,
100344432838,70000.0,30000.0,,70000.0,,
100345557049,70000.0,30000.0,,70000.0,,
100344422301,70000.0,30000.0,,70000.0,,
100339781943,70000.0,50000.0,,70000.0,,
100013004267,60000.0,50000.0,60000.0,30000.0,,
100334779935,70000.0,50000.0,,70000.0,,
100334818063,70000.0,50000.0,,70000.0,,
100334901218,70000.0,50000.0,,70000.0,,
100334996198,70000.0,50000.0,,70000.0,,
100334814677,70000.0,50000.0,,70000.0,,
100334815942,70000.0,50000.0,,70000.0,,
100337095763,70000.0,50000.0,,70000.0,,
100335672856,70000.0,50000.0,,,,
100338087383,70000.0,50000.0,,70000.0,,
100336066633,70000.0,50000.0,,70000.0,,
100338088302,70000.0,50000.0,,70000.0,,
100345557731,60000.0,50000.0,,60000.0,,
100323512559,60000.0,50000.0,,60000.0,,
100323467574,60000.0,50000.0,,60000.0,,
100323623947,60000.0,50000.0,,60000.0,,
100342810894,70000.0,30000.0,,70000.0,,
100343186563,70000.0,30000.0,,70000.0,,
100345557863,70000.0,30000.0,,70000.0,,
100254503499,70000.0,30000.0,,70000.0,,
100342942318,70000.0,30000.0,,70000.0,,
100340887285,60000.0,20000.0,60000.0,,,
100340885918,60000.0,20000.0,60000.0,,,
100340893849,60000.0,20000.0,60000.0,,,
100340889711,60000.0,20000.0,60000.0,,,
100340849534,60000.0,20000.0,60000.0,,,
100340893035,60000.0,20000.0,60000.0,,,
100340887544,60000.0,20000.0,60000.0,,,
100340892133,60000.0,20000.0,60000.0,,,
100340886329,60000.0,20000.0,60000.0,,,
100329297565,70000.0,50000.0,,70000.0,,
100329691571,70000.0,50000.0,,70000.0,,
100329323300,70000.0,50000.0,,70000.0,,
100329326742,70000.0,50000.0,,70000.0,,
100337155978,70000.0,50000.0,,,,
100285681408,70000.0,50000.0,,,,
100332663906,70000.0,50000.0,,,,
100337353696,70000.0,40000.0,,70000.0,,
100344620870,70000.0,30000.0,,70000.0,,
100343999963,70000.0,30000.0,,70000.0,,
100343999052,70000.0,30000.0,,70000.0,,
100345556675,70000.0,30000.0,,70000.0,,
100344004616,70000.0,30000.0,,70000.0,,
100344251118,70000.0,30000.0,,70000.0,,
100346555283,70000.0,30000.0,,70000.0,,
100180215758,70000.0,50000.0,,70000.0,,
100338170623,70000.0,50000.0,,70000.0,,
100338169332,70000.0,50000.0,,70000.0,,
100338374442,70000.0,50000.0,,70000.0,,
100342610899,60000.0,50000.0,,60000.0,,
100343170560,60000.0,50000.0,,60000.0,,
100342701770,60000.0,50000.0,,60000.0,,
100343171510,60000.0,50000.0,,60000.0,,
100342662135,60000.0,50000.0,,60000.0,,
100339503801,60000.0,20000.0,60000.0,60000.0,,
100339751852,60000.0,20000.0,60000.0,60000.0,,
100323436396,60000.0,50000.0,,60000.0,,
100333555721,60000.0,50000.0,,60000.0,,
100333673810,60000.0,50000.0,,60000.0,,
100345334103,70000.0,50000.0,,,,
100327438564,70000.0,50000.0,,,,
100340842328,70000.0,50000.0,,70000.0,,
100327438636,70000.0,50000.0,,,,
100340396383,70000.0,50000.0,,,,
100340398947,70000.0,50000.0,,,,
100343234139,70000.0,50000.0,,,,
100340363996,70000.0,50000.0,,,,
100343234234,70000.0,50000.0,,,,
100328737978,70000.0,50000.0,,,,
100343234279,70000.0,50000.0,,,,
100327436873,70000.0,50000.0,,,,
100327435944,70000.0,50000.0,,,,
100327440314,70000.0,50000.0,,,,
100340400771,70000.0,50000.0,,,,
100340398967,70000.0,50000.0,,,,
100341241790,70000.0,50000.0,,,,
100331116402,70000.0,50000.0,,,,
100327398810,70000.0,50000.0,,,,
100328781512,70000.0,50000.0,,,,
100327433093,70000.0,50000.0,,,,
100340400214,70000.0,50000.0,,,,
100340397315,70000.0,50000.0,,,,
100327439374,70000.0,50000.0,,,,
100343234312,70000.0,50000.0,,,,
100340405383,70000.0,50000.0,,,,
100340400774,70000.0,50000.0,,,,
100327517701,70000.0,50000.0,,,,
100332939742,80000.0,50000.0,,,,
100346428981,80000.0,50000.0,,,,
